# Indian festival dates 2022-2026. Loaded by scripts/init_db.py into the festivals table.
# demand_effect is the vegetable-demand bump (1 = festival lifts vegetable demand).
# Lunar/Islamic dates for 2026 are approximate; correct them if a date matters to you.
fest_date,name,demand_effect
2022-01-14,Makar Sankranti,1
2022-03-18,Holi,1
2022-05-03,Ramzan Eid,1
2022-07-10,Bakri Eid,1
2022-08-31,Ganesh Chaturthi,1
2022-09-08,Onam,1
2022-09-26,Navratri,1
2022-10-05,Dussehra,1
2022-10-24,Diwali,1
2023-01-15,Makar Sankranti,1
2023-03-08,Holi,1
2023-04-22,Ramzan Eid,1
2023-06-29,Bakri Eid,1
2023-08-29,Onam,1
2023-09-19,Ganesh Chaturthi,1
2023-10-15,Navratri,1
2023-10-24,Dussehra,1
2023-11-12,Diwali,1
2024-01-15,Makar Sankranti,1
2024-03-25,Holi,1
2024-04-11,Ramzan Eid,1
2024-06-17,Bakri Eid,1
2024-09-07,Ganesh Chaturthi,1
2024-09-15,Onam,1
2024-10-03,Navratri,1
2024-10-12,Dussehra,1
2024-11-01,Diwali,1
2025-01-14,Makar Sankranti,1
2025-03-14,Holi,1
2025-03-31,Ramzan Eid,1
2025-06-07,Bakri Eid,1
2025-08-27,Ganesh Chaturthi,1
2025-09-05,Onam,1
2025-09-22,Navratri,1
2025-10-02,Dussehra,1
2025-10-20,Diwali,1
2026-01-14,Makar Sankranti,1
2026-03-04,Holi,1
2026-03-20,Ramzan Eid,1
2026-05-27,Bakri Eid,1
2026-08-26,Onam,1
2026-09-14,Ganesh Chaturthi,1
2026-10-11,Navratri,1
2026-10-20,Dussehra,1
2026-11-08,Diwali,1
